BID,batteryCapacity,batteryType,curState,grant,manufacturer,mileage_max,model,numCharge,region,startDate,totalDistance,type,warranty_distance,warranty_year
14916,35.94,PHEV,waiting,1017,Renault,212.7,sm3_18,615,Jeju,2013-2-19,247025912,sedan,140000,7
9072,39.24,HEV,inspection,1200,Hyundai,254.2,Kona_economic,238,GyeongNam,2016-4-23,1137428333,sedan,200000,10
24763,6.77,BEV,inspection,450,Renault,60.8,twizy,314,Gwangju,2017-3-28,689935085,compact,120000,7
13565,35.94,PHEV,using,1017,Renault,212.7,sm3_18,327,Busan,2016-8-19,454362308,sedan,140000,7
9734,33.18,BEV,manufacture,1091,BMW,208.2,i3_18,159,Jeju,2017-5-30,822168212,sedan,100000,8
11641,87.5,BEV,inspection,1200,Tesla,378.5,modelS_90d,150,GyeongNam,2013-9-27,1174748395,sedan,140000,5
12818,28.08,PHEV,using,1127,Hyundai,191.2,ionic_2017,389,Seoul,2015-3-30,978821122,sedan,200000,10
4353,28.0,PHEV,using,1126,Hyundai,200.1,ionic_2018,135,Seoul,2014-7-30,612795928,sedan,200000,10
8853,101.5,BEV,manufacture,1200,Tesla,424.0,modelP_100d,660,Jeju,2017-4-30,555923897,sedan,140000,5
16972,28.08,PHEV,manufacture,1127,Hyundai,191.2,ionic_2017,633,ChungNam,2013-2-19,1535201554,sedan,200000,10
24674,39.24,HEV,waiting,1200,Hyundai,254.2,Kona_economic,175,Seoul,2013-8-21,418970084,sedan,200000,10
24865,101.5,BEV,using,1200,Tesla,451.2,modelS_100d,538,Jeju,2013-7-26,1196835568,sedan,140000,5
17698,101.5,BEV,using,1200,Tesla,424.0,modelP_100d,604,Gyunggi,2016-8-18,158463120,sedan,140000,5
24715,26.64,PHEV,manufacture,839,Renault,135.0,sm3_17,501,Gyunggi,2016-2-19,51901491,sedan,140000,7
1345,33.18,BEV,waiting,1091,BMW,208.2,i3_18,672,Jeju,2013-8-26,490007734,sedan,100000,8
18968,101.5,BEV,manufacture,1200,Tesla,451.2,modelS_100d,587,Jeju,2014-6-24,250285938,sedan,140000,5
16057,87.5,BEV,waiting,1200,Tesla,378.5,modelS_90d,579,Daegu,2013-5-17,1331148622,sedan,140000,5
8540,33.18,BEV,waiting,1091,BMW,208.2,i3_18,23,JeonNam,2017-1-20,342206960,sedan,100000,8
6382,33.18,BEV,inspection,1091,BMW,208.2,i3_18,644,Jeju,2017-5-30,82273522,sedan,100000,8
11262,16.4,BEV,inspection,706,Kia,91.0,ray_18,593,Jeju,2016-6-25,1757104,sedan,120000,6
13517,6.77,BEV,manufacture,450,Renault,60.8,twizy,539,Jeju,2016-4-21,157944879,compact,120000,7
2121,18.8,BEV,inspection,807,BMW,132.0,i3_17,618,Jeju,2016-4-24,582284484,sedan,100000,8
2416,6.77,BEV,waiting,450,Renault,60.8,twizy,389,GyeongBuk,2015-4-29,435784348,compact,120000,7
7645,6.77,BEV,inspection,450,Renault,60.8,twizy,283,Seoul,2016-4-17,1131242373,compact,120000,7
16993,16.4,BEV,waiting,706,Kia,91.0,ray_18,192,Jeju,2016-4-26,874863787,sedan,120000,6
6780,6.77,BEV,using,450,Renault,60.8,twizy,523,Daegu,2015-9-23,905503020,compact,120000,7
3215,28.0,PHEV,manufacture,1126,Hyundai,200.1,ionic_2018,458,JeonNam,2017-6-24,690489630,sedan,200000,10
14383,26.64,PHEV,manufacture,839,Renault,135.0,sm3_17,570,Seoul,2014-8-27,1061175222,sedan,140000,7
9935,101.5,BEV,waiting,1200,Tesla,451.2,modelS_100d,429,Jeju,2014-6-25,1380713791,sedan,140000,5
6189,26.64,PHEV,waiting,839,Renault,135.0,sm3_17,618,Jeju,2014-6-17,1174755446,sedan,140000,7
7505,23.76,BEV,waiting,849,Nissan,132.8,LEAF,664,ChungNam,2013-4-18,487162600,sedan,100000,6
22395,60.9,PHEV,using,1200,GM,303.2,Volt_ev,321,Jeju,2013-1-28,259535509,sedan,160000,8
9520,101.5,BEV,inspection,1200,Tesla,451.2,modelS_100d,532,JeonNam,2014-2-24,579291559,sedan,140000,5
23188,39.24,HEV,waiting,1200,Hyundai,254.2,Kona_economic,561,Seoul,2013-3-27,1930957915,sedan,200000,10
5652,6.77,BEV,waiting,450,Renault,60.8,twizy,180,Jeju,2015-4-22,128197409,compact,120000,7
1756,23.76,BEV,inspection,849,Nissan,132.8,LEAF,696,Gyunggi,2013-3-21,780119038,sedan,100000,6
509,33.18,BEV,manufacture,1091,BMW,208.2,i3_18,212,Seoul,2014-5-26,888668332,sedan,100000,8
14221,101.5,BEV,waiting,1200,Tesla,451.2,modelS_100d,487,Jeju,2013-2-18,1137850521,sedan,140000,5
20449,87.5,BEV,inspection,1200,Tesla,378.5,modelS_90d,83,Daegu,2016-9-29,818424999,sedan,140000,5
7028,30.0,HEV,inspection,1027,Kia,179.6,soul_18,390,Seoul,2014-9-24,1334897174,sedan,160000,10
6997,87.5,BEV,using,1200,Tesla,378.5,modelS_90d,280,Jeju,2014-4-22,684182951,sedan,140000,5
12956,7.25,BEV,inspection,450,Dechang,60.8,danigo,361,Seoul,2015-6-21,964579296,compact,150000,5
8166,28.0,PHEV,using,1126,Hyundai,200.1,ionic_2018,396,Seoul,2016-1-17,1847972308,sedan,200000,10
22813,7.25,BEV,waiting,450,Dechang,60.8,danigo,302,Seoul,2014-2-28,463603126,compact,150000,5
13375,33.18,BEV,inspection,1091,BMW,208.2,i3_18,564,Busan,2014-2-22,495388393,sedan,100000,8
1919,35.94,PHEV,using,1017,Renault,212.7,sm3_18,193,Jeju,2013-5-17,1073251918,sedan,140000,7
20372,60.9,PHEV,using,1200,GM,303.2,Volt_ev,462,Jeju,2014-2-18,78154464,sedan,160000,8
86,16.4,BEV,using,706,Kia,91.0,ray_18,462,Jeju,2017-4-17,723548573,sedan,120000,6
19737,60.9,PHEV,manufacture,1200,GM,303.2,Volt_ev,233,Seoul,2016-7-29,156598908,sedan,160000,8
4675,26.64,PHEV,inspection,839,Renault,135.0,sm3_17,373,Seoul,2015-8-29,312871413,sedan,140000,7
24755,87.5,BEV,waiting,1200,Tesla,378.5,modelS_90d,384,Busan,2015-5-21,652468467,sedan,140000,5
24720,16.4,BEV,manufacture,706,Kia,91.0,ray_18,520,Seoul,2014-6-26,426567028,sedan,120000,6
10314,101.5,BEV,inspection,1200,Tesla,424.0,modelP_100d,44,Seoul,2013-1-25,778775806,sedan,140000,5
14278,101.5,BEV,inspection,1200,Tesla,424.0,modelP_100d,148,GyeongNam,2013-7-20,402375484,sedan,140000,5
14606,60.9,PHEV,inspection,1200,GM,303.2,Volt_ev,484,Jeju,2013-4-28,1031099579,sedan,160000,8
15001,30.0,HEV,manufacture,1027,Kia,179.6,soul_18,561,Gwangju,2016-7-23,259886462,sedan,160000,10
4476,28.0,PHEV,manufacture,1126,Hyundai,200.1,ionic_2018,429,Jeju,2015-9-28,163987572,sedan,200000,10
7550,35.94,PHEV,inspection,1017,Renault,212.7,sm3_18,480,JeonBuk,2017-7-18,543979627,sedan,140000,7
20754,28.08,PHEV,waiting,1127,Hyundai,191.2,ionic_2017,91,Jeju,2016-9-21,727701795,sedan,200000,10
19110,33.18,BEV,inspection,1091,BMW,208.2,i3_18,495,Seoul,2017-6-24,692849493,sedan,100000,8
18731,26.64,PHEV,using,839,Renault,135.0,sm3_17,325,JeonNam,2017-7-24,136957941,sedan,140000,7
5513,101.5,BEV,inspection,1200,Tesla,424.0,modelP_100d,632,Gwangju,2016-4-24,883815537,sedan,140000,5
3912,16.4,BEV,using,706,Kia,91.0,ray_18,494,Seoul,2017-8-20,786231750,sedan,120000,6
12437,18.8,BEV,manufacture,807,BMW,132.0,i3_17,404,Jeju,2016-6-21,931898831,sedan,100000,8
12669,101.5,BEV,using,1200,Tesla,451.2,modelS_100d,404,Jeju,2015-9-25,778596605,sedan,140000,5
12491,23.76,BEV,inspection,849,Nissan,132.8,LEAF,212,Gyunggi,2017-8-20,158471721,sedan,100000,6
12357,87.5,BEV,manufacture,1200,Tesla,378.5,modelS_90d,294,Busan,2013-5-26,995084007,sedan,140000,5
24158,23.76,BEV,waiting,849,Nissan,132.8,LEAF,483,Jeju,2017-9-27,779249189,sedan,100000,6
1971,16.4,BEV,inspection,706,Kia,91.0,ray_18,567,GyeongNam,2017-7-29,748558665,sedan,120000,6
16892,23.76,BEV,waiting,849,Nissan,132.8,LEAF,548,Jeju,2013-2-27,940141952,sedan,100000,6
2195,87.5,BEV,manufacture,1200,Tesla,378.5,modelS_90d,612,Jeju,2014-2-24,1191126309,sedan,140000,5
8640,30.0,HEV,inspection,1027,Kia,179.6,soul_18,337,Seoul,2013-5-18,849407735,sedan,160000,10
24288,28.0,PHEV,using,1126,Hyundai,200.1,ionic_2018,176,Jeju,2014-6-30,1233968929,sedan,200000,10
5840,6.77,BEV,inspection,450,Renault,60.8,twizy,601,Jeju,2015-4-26,859312486,compact,120000,7
23316,39.24,HEV,using,1200,Hyundai,254.2,Kona_economic,274,Jeju,2015-7-23,1200381284,sedan,200000,10
8212,18.8,BEV,inspection,807,BMW,132.0,i3_17,422,Jeju,2015-9-28,410422174,sedan,100000,8
21095,33.18,BEV,manufacture,1091,BMW,208.2,i3_18,560,Jeju,2017-2-27,182295341,sedan,100000,8
4180,23.76,BEV,using,849,Nissan,132.8,LEAF,82,Seoul,2014-3-27,453323631,sedan,100000,6
19159,23.76,BEV,inspection,849,Nissan,132.8,LEAF,328,Seoul,2013-9-23,810820477,sedan,100000,6
3075,101.5,BEV,using,1200,Tesla,451.2,modelS_100d,554,Jeju,2013-5-28,837555070,sedan,140000,5
25809,101.5,BEV,using,1200,Tesla,424.0,modelP_100d,386,JeonNam,2017-4-28,126611212,sedan,140000,5
8237,101.5,BEV,manufacture,1200,Tesla,451.2,modelS_100d,407,JeonNam,2017-5-27,721369970,sedan,140000,5
2664,39.24,HEV,waiting,1200,Hyundai,254.2,Kona_economic,320,JeonBuk,2014-8-23,1073157673,sedan,200000,10
14097,39.24,HEV,using,1200,Hyundai,254.2,Kona_economic,694,Seoul,2015-5-28,1905829268,sedan,200000,10
25499,28.0,PHEV,using,1126,Hyundai,200.1,ionic_2018,166,Daejeon,2014-6-21,760910714,sedan,200000,10
10005,87.5,BEV,inspection,1200,Tesla,378.5,modelS_90d,566,Jeju,2017-7-17,1013174046,sedan,140000,5
23966,39.24,HEV,manufacture,1200,Hyundai,254.2,Kona_economic,649,Gyunggi,2013-6-25,1178240645,sedan,200000,10
16203,28.0,PHEV,inspection,1126,Hyundai,200.1,ionic_2018,495,JeonNam,2014-6-18,533295286,sedan,200000,10
7177,7.25,BEV,manufacture,450,Dechang,60.8,danigo,125,Jeju,2013-1-26,456766743,compact,150000,5
465,28.0,PHEV,inspection,1126,Hyundai,200.1,ionic_2018,475,Daegu,2017-4-29,16358634,sedan,200000,10
774,284.7,BEV,using,1200,Tesla,359.5,modelS_75d,206,Gangwon,2014-1-17,1162250318,sedan,140000,5
21904,16.4,BEV,using,706,Kia,91.0,ray_18,521,Seoul,2014-2-26,687630147,sedan,120000,6
14172,28.08,PHEV,manufacture,1127,Hyundai,191.2,ionic_2017,282,Incheon,2017-2-22,216946638,sedan,200000,10
16422,101.5,BEV,inspection,1200,Tesla,424.0,modelP_100d,337,Seoul,2016-9-17,82166860,sedan,140000,5
15728,23.76,BEV,inspection,849,Nissan,132.8,LEAF,613,Incheon,2013-5-28,159196963,sedan,100000,6
15698,87.5,BEV,using,1200,Tesla,378.5,modelS_90d,638,Jeju,2014-6-18,1117872978,sedan,140000,5
4632,87.5,BEV,using,1200,Tesla,378.5,modelS_90d,449,Jeju,2017-8-23,496873997,sedan,140000,5
24621,7.25,BEV,waiting,450,Dechang,60.8,danigo,331,GyeongBuk,2015-2-17,1311358455,compact,150000,5
25296,6.77,BEV,manufacture,450,Renault,60.8,twizy,468,GyeongNam,2014-3-20,783253037,compact,120000,7
3794,101.5,BEV,using,1200,Tesla,424.0,modelP_100d,176,Jeju,2013-6-19,127588073,sedan,140000,5
409,23.76,BEV,inspection,849,Nissan,132.8,LEAF,170,Seoul,2013-4-18,678862141,sedan,100000,6
7800,18.8,BEV,waiting,807,BMW,132.0,i3_17,568,GyeongNam,2017-8-28,884551347,sedan,100000,8
25763,39.24,HEV,manufacture,1200,Hyundai,254.2,Kona_economic,505,ChungNam,2014-8-20,1381155749,sedan,200000,10
22550,87.5,BEV,manufacture,1200,Tesla,378.5,modelS_90d,597,Jeju,2017-6-30,609720951,sedan,140000,5
8207,18.8,BEV,inspection,807,BMW,132.0,i3_17,236,Seoul,2015-6-23,785558465,sedan,100000,8
23475,26.64,PHEV,waiting,839,Renault,135.0,sm3_17,354,Jeju,2016-5-27,504891539,sedan,140000,7
692,35.94,PHEV,using,1017,Renault,212.7,sm3_18,220,Busan,2017-1-18,216106314,sedan,140000,7
22393,18.8,BEV,waiting,807,BMW,132.0,i3_17,300,JeonBuk,2013-3-21,999999760,sedan,100000,8
7004,60.9,PHEV,manufacture,1200,GM,303.2,Volt_ev,324,Seoul,2016-4-27,203242172,sedan,160000,8
4591,18.8,BEV,using,807,BMW,132.0,i3_17,664,Jeju,2013-9-29,67905406,sedan,100000,8
13959,7.25,BEV,using,450,Dechang,60.8,danigo,121,Gyunggi,2016-1-26,303953147,compact,150000,5
25519,23.76,BEV,using,849,Nissan,132.8,LEAF,247,Daegu,2013-1-24,832614168,sedan,100000,6
12920,18.8,BEV,waiting,807,BMW,132.0,i3_17,554,Jeju,2017-6-26,745140247,sedan,100000,8
16949,35.94,PHEV,inspection,1017,Renault,212.7,sm3_18,472,Jeju,2017-2-19,836361621,sedan,140000,7
24949,23.76,BEV,inspection,849,Nissan,132.8,LEAF,234,Jeju,2013-6-25,741550353,sedan,100000,6
25582,6.77,BEV,inspection,450,Renault,60.8,twizy,635,Jeju,2016-9-30,897868472,compact,120000,7
14950,26.64,PHEV,waiting,839,Renault,135.0,sm3_17,103,Jeju,2015-3-30,555006052,sedan,140000,7
696,39.24,HEV,manufacture,1200,Hyundai,254.2,Kona_economic,70,Jeju,2016-4-25,819193889,sedan,200000,10
15323,26.64,PHEV,using,839,Renault,135.0,sm3_17,166,GyeongNam,2014-4-29,1023492327,sedan,140000,7
4875,26.64,PHEV,manufacture,839,Renault,135.0,sm3_17,606,GyeongBuk,2016-2-28,1200899836,sedan,140000,7
18417,33.18,BEV,manufacture,1091,BMW,208.2,i3_18,115,Jeju,2013-8-28,721036266,sedan,100000,8
6368,101.5,BEV,inspection,1200,Tesla,451.2,modelS_100d,523,Gyunggi,2014-1-19,700905805,sedan,140000,5
9053,6.77,BEV,using,450,Renault,60.8,twizy,695,Jeju,2017-7-17,861519144,compact,120000,7
19900,23.76,BEV,manufacture,849,Nissan,132.8,LEAF,393,Daejeon,2013-4-25,215040011,sedan,100000,6
5360,39.24,HEV,using,1200,Hyundai,254.2,Kona_economic,522,Jeju,2017-5-23,21524008,sedan,200000,10
4429,101.5,BEV,waiting,1200,Tesla,424.0,modelP_100d,145,Gyunggi,2014-6-23,988973327,sedan,140000,5
15105,23.76,BEV,manufacture,849,Nissan,132.8,LEAF,238,Jeju,2013-8-19,398375481,sedan,100000,6
3103,26.64,PHEV,inspection,839,Renault,135.0,sm3_17,464,Seoul,2013-3-22,352553172,sedan,140000,7
10865,18.8,BEV,waiting,807,BMW,132.0,i3_17,455,Jeju,2017-6-26,885219649,sedan,100000,8
21621,60.9,PHEV,waiting,1200,GM,303.2,Volt_ev,594,Jeju,2017-1-22,214639923,sedan,160000,8
16519,28.0,PHEV,manufacture,1126,Hyundai,200.1,ionic_2018,151,Jeju,2013-5-27,5727135,sedan,200000,10
24196,16.4,BEV,inspection,706,Kia,91.0,ray_18,391,Seoul,2015-2-30,628314529,sedan,120000,6
2170,30.0,HEV,waiting,1027,Kia,179.6,soul_18,240,Seoul,2015-7-21,885045003,sedan,160000,10
1586,60.9,PHEV,using,1200,GM,303.2,Volt_ev,483,Busan,2017-7-27,859704955,sedan,160000,8
24517,7.25,BEV,manufacture,450,Dechang,60.8,danigo,252,Jeju,2016-3-27,810624199,compact,150000,5
6600,28.0,PHEV,manufacture,1126,Hyundai,200.1,ionic_2018,185,Seoul,2016-1-19,671502130,sedan,200000,10
14736,28.08,PHEV,manufacture,1127,Hyundai,191.2,ionic_2017,614,Jeju,2014-7-29,572019959,sedan,200000,10
22153,30.0,HEV,using,1027,Kia,179.6,soul_18,584,ChungNam,2013-7-25,648530549,sedan,160000,10
22741,6.77,BEV,using,450,Renault,60.8,twizy,230,Gyunggi,2013-9-26,822082957,compact,120000,7
25503,6.77,BEV,using,450,Renault,60.8,twizy,553,Seoul,2014-4-17,465006303,compact,120000,7
25923,35.94,PHEV,waiting,1017,Renault,212.7,sm3_18,180,Jeju,2016-3-30,1298068003,sedan,140000,7
1552,33.18,BEV,inspection,1091,BMW,208.2,i3_18,179,JeonNam,2016-3-26,841894559,sedan,100000,8
19060,28.0,PHEV,using,1126,Hyundai,200.1,ionic_2018,268,GyeongBuk,2016-3-17,1319422283,sedan,200000,10
17825,284.7,BEV,manufacture,1200,Tesla,359.5,modelS_75d,531,Seoul,2017-8-20,1365880745,sedan,140000,5
25781,23.76,BEV,using,849,Nissan,132.8,LEAF,31,JeonNam,2017-1-27,680450338,sedan,100000,6
5135,30.0,HEV,inspection,1027,Kia,179.6,soul_18,267,Gyunggi,2016-4-28,601616409,sedan,160000,10
7835,18.8,BEV,inspection,807,BMW,132.0,i3_17,562,Jeju,2016-9-26,273599970,sedan,100000,8
10598,35.94,PHEV,manufacture,1017,Renault,212.7,sm3_18,440,Seoul,2016-9-27,184032000,sedan,140000,7
3236,6.77,BEV,manufacture,450,Renault,60.8,twizy,153,Jeju,2014-7-21,816012885,compact,120000,7
19886,101.5,BEV,manufacture,1200,Tesla,424.0,modelP_100d,509,Seoul,2017-7-19,881916388,sedan,140000,5
16583,18.8,BEV,manufacture,807,BMW,132.0,i3_17,656,Busan,2013-1-24,881080407,sedan,100000,8
18033,39.24,HEV,inspection,1200,Hyundai,254.2,Kona_economic,551,Daegu,2016-4-20,428258113,sedan,200000,10
